時間,timeStep,TSPS,,並進バネ,並進ダンパ,回転バネ,回転ダンパ,floorDF,floorSF,floorCR,
2.94488,0.011961,83.605,,100000,1000,100000,100,0,0,0,
2.9568,0.011912,83.949,,100000,1000,100000,100,0,0,0,
2.96877,0.01197,83.5422,,100000,1000,100000,100,0,0,0,
2.98127,0.012506,79.9616,,100000,1000,100000,100,0,0,0,
2.99321,0.011933,83.8012,,100000,1000,100000,100,0,0,0,
3.0052,0.011995,83.3681,,100000,1000,100000,100,0,0,0,
3.0172,0.012002,83.3195,,100000,1000,100000,100,0,0,0,
3.02914,0.011939,83.7591,,100000,1000,100000,100,0,0,0,
3.04064,0.011498,86.9716,,100000,1000,100000,100,0,0,0,
3.05333,0.012695,78.7712,,100000,1000,100000,100,0,0,0,
3.06538,0.012046,83.0151,,100000,1000,100000,100,0,0,0,
3.07666,0.011281,88.6446,,100000,1000,100000,100,0,0,0,
3.08906,0.012397,80.6647,,100000,1000,100000,100,0,0,0,
3.10052,0.011467,87.2068,,100000,1000,100000,100,0,0,0,
3.11305,0.01253,79.8085,,100000,1000,100000,100,0,0,0,
3.12502,0.011965,83.5771,,100000,1000,100000,100,0,0,0,
3.13745,0.012428,80.4635,,100000,1000,100000,100,0,0,0,
3.14941,0.011964,83.5841,,100000,1000,100000,100,0,0,0,
3.16138,0.011969,83.5492,,100000,1000,100000,100,0,0,0,
3.17335,0.011967,83.5631,,100000,1000,100000,100,0,0,0,
3.18531,0.011964,83.5841,,100000,1000,100000,100,0,0,0,
3.19735,0.01204,83.0565,,100000,1000,100000,100,0,0,0,
3.20931,0.011955,83.647,,100000,1000,100000,100,0,0,0,
3.22122,0.011911,83.956,,100000,1000,100000,100,0,0,0,
